NAME,TYPE,Ph.D.,Broad area,Start,End,Current/Next position,Postdoc completed?
Chandan Biswas,IISc Raman PDF,"University of Wisconsin at Madison, USA",Harmonic Analysis,2021,,,No
Biltu Dan,IISc Raman PDF,ISI,Probability theory,2021,,,No
Gargi Ghosh,IOE,"IISER, Kolkata",Operator Theory,2021,,,No
Anoop V. P.,NPDF,NISER,Harmonic Analysis,2020,,,No
G. Arunkumar,NBHM,IMSc,"Combinatorics, Infinite-dimensional Lie algebras, Spectral graph theory",2020,,,No
Gianluca Faraco,IISc Raman PDF,"University of Ferrera, Italy",Low dimensional Geometry,2020,,,No
Sajal Kumar Mukherjee,NBHM,Visva-Bharati University,Combinatorics,2020,,,No
Mihir Sheth,IISc Raman PDF,"University of Duisburg-Essen, Germany","Number theory, Representation theory",2020,,,No
Vijaya Kumar U,IOE,ISI,"Operator Theory, Operator Algebras, Quantum Probability",2020,,,No
Kiran Kumar Behera,Kothari,IITR,Operator theory,2019,,,No
Deb Kumar Giri,NBHM,IITG,Harmonic Analysis,2019,,,No
Anupam Gumber,NBHM,IITI,"Harmonic Analysis, Approximation theory, Representation theory",2019,,,No
Sumana Hatui,NBHM/IISc Raman PDF,HRI,"Group theory, Schur multipliers",2019,,,No
Divya Khurana,Kothari,IITK,"Geometry of Banach spaces, Greedy approximation algorithms",2019,,,No
Geethika Sebastian,Kothari,IITH,Functional analysis,2019,,,No
Sudip Bera,NBHM/DST,Visva-Bharati University,Algebraic combinatorics,2018,,,No
Projesh Nath Choudhury,NBHM/NPDF,IITM,Matrix theory,2018,,,No
Gouranga Mallik,NBHM/IISc Raman PDF,IITB,"PDE, Finite element methods",2018,,,No
Sneh Bala Sinha,NBHM,HRI,Number Theory,2018,,,No
Mamta Balodi,IISc Raman PDF,MNNIT,Quantum Algebra,2017,,,No
Debamalya Sain,Kothari/NPDF,Jadavpur,Geometry of normed linear spaces,2017,,,No
Rajesh Kumar Singh,NBHM,IITK,Harmonic Analysis,,,,No
,,,,,,,
Ramesh Manna,Kothari/IISc Raman PDF,IITK,Harmonic analysis,2020,2020,"INSPIRE Faculty, IISc",Yes
Anirudha Poria,Kothari,IITG,Applied Harmonic Analysis,2019,2020,"Bar-Ilan university, Israel",Yes
Tamal Pramanick,NBHM,IITG,"Numerical analysis, PDE, FEM",2019,2020,"NIT, Calicut",Yes
Bikramaditya Sahu,NBHM,NISER,"Algebraic combinatorics, Finite geometry",2019,2020,"NIT, Rourkela",Yes
Srijan Sarkar,NBHM,ISI,Multivariate operator Theory,2019,2020,"INSPIRE Faculty, IISc",Yes
Kuldeep Kumar Kataria,,IITB,Probability and Stochastic processes,2018,2018,"IIT, Bhilai",Yes
Arun Maiti,NBHM,"University of Leipzig, Germany","String Topology, Symplectic Geometry",2018,2020,,Yes
Gopal Datt,Kothari/SJF/NPDF,University of Delhi,"Nevanlinna theory, Several complex variables",2017,2020,"Babasaheb Bhimrao Ambedkar University, Lucknow",Yes
