Name,Position,Ph.D.,Area of research,Start,End,Next position,Completed?
Neelam Saikia,INSPIRE FACULTY,IITD,Number theory,,,,No
Mithun Bhowmik,INSPIRE FACULTY,ISI,Harmonic analysis on Lie groups,,,,No
Ramesh Manna,INSPIRE FACULTY/Kothari,IITK,Harmonic analysis,,,,No
Srijan Sarkar,INSPIRE FACULTY/NBHM,ISI,Multivariate operator theory,,,,No
Sushma Palimar,INSPIRE FACULTY,"NITK, Surathkal",Algebraic number theory,,,,No
Surjit Kumar,INSPIRE FACULTY,IITK,Operator theory,,,,No
Safdar Quddus,INSPIRE FACULTY,Washington university,Non-commutative geometry,,,,No
Koushik Saha,INSPIRE Faculty,ISI,Probability,2012,2014 ,"IIT, Bombay",Yes
Mousumi Mondal,INSPIRE Faculty,IITB,Commutative Algebra,2013,,IIT Kharagpur,Yes
Umesh V. Dubey ,INSPIRE Faculty,IMSc,Algebraic geometry,2013,,"HRI, Allahabad",Yes
Jaban Meher   ,INSPIRE Faculty,HRI,Number Theory ,2013,2015,"NISER, Bhubaneshwar",Yes
Esha Chatterjee Ghosh,DST Young scientist,Rhode Island,Nonlinear Difference Equations,2011,,,Yes
