date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:09	325/325	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Aug%202017%2010:57:16%20GMT	http://math.iisc.ac.in/seminars2017	math.iisc.ac.in/seminars2017.0.delayed	(from )
15:42:09	239/239	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2030%20Aug%202017%2010:57:17%20GMT	http://math.iisc.ac.in/robots.txt		(from )
15:42:10	6057/6057	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:57:17%20GMT	http://math.iisc.ac.in/seminars2017/	math.iisc.ac.in/seminars2017/index.html	(from )
15:42:10	148/148	---M-Z	200	added ('OK')	image/gif	etag:%22160034-94-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/blank.gif	math.iisc.ac.in/icons/blank.gif	(from http://math.iisc.ac.in/seminars2017/)
15:42:10	216/216	---M-Z	200	added ('OK')	image/gif	etag:%2216002a-d8-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/back.gif	math.iisc.ac.in/icons/back.gif	(from http://math.iisc.ac.in/seminars2017/)
15:42:11	6057/6057	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:57:18%20GMT	http://math.iisc.ac.in/seminars2017/?C=N;O=D	math.iisc.ac.in/seminars2017/indexc052.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:11	229/229	---M-Z	200	added ('OK')	image/gif	etag:%221600ec-e5-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/text.gif	math.iisc.ac.in/icons/text.gif	(from http://math.iisc.ac.in/seminars2017/)
15:42:12	6057/6057	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:57:19%20GMT	http://math.iisc.ac.in/seminars2017/?C=M;O=A	math.iisc.ac.in/seminars2017/indexf8a0.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:12	6057/6057	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:57:19%20GMT	http://math.iisc.ac.in/seminars2017/?C=S;O=A	math.iisc.ac.in/seminars2017/indexbfec.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:12	6057/6057	U--M-Z	200	updated ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:57:19%20GMT	http://math.iisc.ac.in/seminars2017/?C=D;O=A	math.iisc.ac.in/seminars2017/index30b5.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:13	24831/24831	U--MCZ	200	updated ('OK')	text/html	etag:%22161d63-60ff-557e23d37879c-gzip%22	http://math.iisc.ac.in/	math.iisc.ac.in/index.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:13	17688/17688	U--MCZ	200	updated ('OK')	text/html	etag:%22161ca1-4518-5559bbb3a19eb-gzip%22	http://math.iisc.ac.in/seminars2017/aug02.htm	math.iisc.ac.in/seminars2017/aug02.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:13	17639/17639	U--MCZ	200	updated ('OK')	text/html	etag:%22161d2f-44e7-54c504bfce8fd-gzip%22	http://math.iisc.ac.in/seminars2017/apr05.htm	math.iisc.ac.in/seminars2017/apr05.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:13	16874/16874	U--MCZ	200	updated ('OK')	text/html	etag:%22161d4e-41ea-5564dbd834ca7-gzip%22	http://math.iisc.ac.in/seminars2017/aug09.htm	math.iisc.ac.in/seminars2017/aug09.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:14	9627/9627	---M-Z	200	added ('OK')	image/jpeg	etag:%2216040c-259b-464c53b6a4dc0-gzip%22	http://math.iisc.ac.in/iisclogo.JPG	math.iisc.ac.in/iisclogo.jpg	(from http://math.iisc.ac.in/)
15:42:14	17707/17707	U--MCZ	200	updated ('OK')	text/html	etag:%22161d61-452b-556b14831a545-gzip%22	http://math.iisc.ac.in/seminars2017/aug18.htm	math.iisc.ac.in/seminars2017/aug18.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:14	17312/17312	U--MCZ	200	updated ('OK')	text/html	etag:%22161d38-43a0-54819559694ba-gzip%22	http://math.iisc.ac.in/seminars2017/feb03-I.htm	math.iisc.ac.in/seminars2017/feb03-I.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:14	17206/17206	U--MCZ	200	updated ('OK')	text/html	etag:%22161d35-4336-54819559694ba-gzip%22	http://math.iisc.ac.in/seminars2017/feb03.htm	math.iisc.ac.in/seminars2017/feb03.html	(from http://math.iisc.ac.in/seminars2017/)
15:42:14	356/356	---M-Z	200	added ('OK')	image/gif	etag:%221604ae-164-464c538601b00-gzip%22	http://math.iisc.ac.in/images/lnk-intro1.gif	math.iisc.ac.in/images/lnk-intro1.gif	(from http://math.iisc.ac.in/)
