date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:36	325/325	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2030%20Aug%202017%2010:51:43%20GMT	http://math.iisc.ac.in/seminars2017	math.iisc.ac.in/seminars2017.0.delayed	(from )
15:36:36	239/239	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2030%20Aug%202017%2010:51:43%20GMT	http://math.iisc.ac.in/robots.txt		(from )
15:36:36	6057/6057	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:51:44%20GMT	http://math.iisc.ac.in/seminars2017/	math.iisc.ac.in/seminars2017/index.html	(from )
15:36:37	148/148	---M-Z	200	added ('OK')	image/gif	etag:%22160034-94-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/blank.gif	math.iisc.ac.in/icons/blank.gif	(from http://math.iisc.ac.in/seminars2017/)
15:36:37	6057/6057	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:51:45%20GMT	http://math.iisc.ac.in/seminars2017/?C=N;O=D	math.iisc.ac.in/seminars2017/indexc052.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:37	216/216	---M-Z	200	added ('OK')	image/gif	etag:%2216002a-d8-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/back.gif	math.iisc.ac.in/icons/back.gif	(from http://math.iisc.ac.in/seminars2017/)
15:36:38	6057/6057	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:51:45%20GMT	http://math.iisc.ac.in/seminars2017/?C=D;O=A	math.iisc.ac.in/seminars2017/index30b5.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:38	6057/6057	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:51:45%20GMT	http://math.iisc.ac.in/seminars2017/?C=M;O=A	math.iisc.ac.in/seminars2017/indexf8a0.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:38	6057/6057	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2010:51:45%20GMT	http://math.iisc.ac.in/seminars2017/?C=S;O=A	math.iisc.ac.in/seminars2017/indexbfec.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:39	229/229	---M-Z	200	added ('OK')	image/gif	etag:%221600ec-e5-3e9564c23b600-gzip%22	http://math.iisc.ac.in/icons/text.gif	math.iisc.ac.in/icons/text.gif	(from http://math.iisc.ac.in/seminars2017/)
15:36:39	24831/24831	---MCZ	200	added ('OK')	text/html	etag:%22161d63-60ff-557e23d37879c-gzip%22	http://math.iisc.ac.in/	math.iisc.ac.in/index.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:39	17639/17639	---MCZ	200	added ('OK')	text/html	etag:%22161d2f-44e7-54c504bfce8fd-gzip%22	http://math.iisc.ac.in/seminars2017/apr05.htm	math.iisc.ac.in/seminars2017/apr05.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:40	17688/17688	---MCZ	200	added ('OK')	text/html	etag:%22161ca1-4518-5559bbb3a19eb-gzip%22	http://math.iisc.ac.in/seminars2017/aug02.htm	math.iisc.ac.in/seminars2017/aug02.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:41	16874/16874	---MCZ	200	added ('OK')	text/html	etag:%22161d4e-41ea-5564dbd834ca7-gzip%22	http://math.iisc.ac.in/seminars2017/aug09.htm	math.iisc.ac.in/seminars2017/aug09.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:41	17707/17707	---MCZ	200	added ('OK')	text/html	etag:%22161d61-452b-556b14831a545-gzip%22	http://math.iisc.ac.in/seminars2017/aug18.htm	math.iisc.ac.in/seminars2017/aug18.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:41	17312/17312	---MCZ	200	added ('OK')	text/html	etag:%22161d38-43a0-54819559694ba-gzip%22	http://math.iisc.ac.in/seminars2017/feb03-I.htm	math.iisc.ac.in/seminars2017/feb03-I.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:42	17206/17206	---MCZ	200	added ('OK')	text/html	etag:%22161d35-4336-54819559694ba-gzip%22	http://math.iisc.ac.in/seminars2017/feb03.htm	math.iisc.ac.in/seminars2017/feb03.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:42	17461/17461	---MCZ	200	added ('OK')	text/html	etag:%22161ce3-4435-5489f18948349-gzip%22	http://math.iisc.ac.in/seminars2017/feb16.htm	math.iisc.ac.in/seminars2017/feb16.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:42	17764/17764	---MCZ	200	added ('OK')	text/html	etag:%22161cce-4564-5489ea03d527b-gzip%22	http://math.iisc.ac.in/seminars2017/feb17-I.htm	math.iisc.ac.in/seminars2017/feb17-I.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:42	17376/17376	---MCZ	200	added ('OK')	text/html	etag:%221604fb-43e0-548b305902a72-gzip%22	http://math.iisc.ac.in/seminars2017/feb17-II.htm	math.iisc.ac.in/seminars2017/feb17-II.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:43	17482/17482	---MCZ	200	added ('OK')	text/html	etag:%221603c7-444a-5489ea03d527b-gzip%22	http://math.iisc.ac.in/seminars2017/feb17.htm	math.iisc.ac.in/seminars2017/feb17.html	(from http://math.iisc.ac.in/seminars2017/)
15:36:43	17845/17845	---MCZ	200	added ('OK')	text/html	etag:%22161d19-45b5-5489efc62e836-gzip%22	http://math.iisc.ac.in/seminars2017/feb23.htm	math.iisc.ac.in/seminars2017/feb23.html	(from http://math.iisc.ac.in/seminars2017/)
